t[s],Relative error in y,vy[m/s],x[m],ay[m/s]
0.25400000000000017,0.00012794782743378092,-2.484486200403121,0.0,-9.73093477192008
0.25500000000000017,0.00012847937913228468,-2.4942171351750413,0.0,-9.73034129081184
0.25600000000000017,0.00012901127284565235,-2.503947476465853,0.0,-9.729745526179979
0.2570000000000002,0.0001295435101977128,-2.513677221992033,0.0,-9.72914747858957
0.2580000000000002,0.00013007609282305005,-2.5234063694706226,0.0,-9.72854714860781
0.2590000000000002,0.0001306090223560114,-2.5331349166192303,0.0,-9.727944536804005
0.2600000000000002,0.00013114230043788854,-2.5428628611560344,0.0,-9.727339643749579
0.2610000000000002,0.00013167592871106117,-2.552590200799784,0.0,-9.726732470018066
0.2620000000000002,0.00013220990882140392,-2.562316933269802,0.0,-9.726123016185115
0.2630000000000002,0.00013274424242180053,-2.572043056285987,0.0,-9.725511282828485
0.2640000000000002,0.0001332789311648116,-2.5817685675688153,0.0,-9.724897270528043
0.2650000000000002,0.00013381397671004922,-2.5914934648393433,0.0,-9.724280979865764
0.2660000000000002,0.00013434938072015362,-2.601217745819209,0.0,-9.723662411425732
0.2670000000000002,0.00013488514485934032,-2.610941408230635,0.0,-9.723041565794135
0.2680000000000002,0.00013542127079783754,-2.620664449796429,0.0,-9.72241844355927
0.2690000000000002,0.00013595776021191019,-2.6303868682399885,0.0,-9.721793045311534
0.2700000000000002,0.00013649461477614628,-2.6401086612853,0.0,-9.721165371643428
0.2710000000000002,0.00013703183617637065,-2.6498298266569433,0.0,-9.72053542314955
0.2720000000000002,0.00013756942609382354,-2.659550362080093,0.0,-9.719903200426605
0.2730000000000002,0.00013810738622102768,-2.6692702652805194,0.0,-9.719268704073393
0.2740000000000002,0.00013864571825204487,-2.6789895339845926,0.0,-9.718631934690812
0.2750000000000002,0.00013918442388249428,-2.6887081659192833,0.0,-9.717992892881856
0.2760000000000002,0.00013972350481732162,-2.698426158812165,0.0,-9.717351579251618
0.2770000000000002,0.00014026296275938368,-2.708143510391417,0.0,-9.71670799440728
0.2780000000000002,0.00014080279942035585,-2.717860218385824,0.0,-9.716062138958117
0.2790000000000002,0.00014134301651411177,-2.727576280524782,0.0,-9.715414013515502
0.2800000000000002,0.00014188361575951413,-2.7372916945382975,0.0,-9.714763618692892
0.2810000000000002,0.00014242459887766614,-2.7470064581569904,0.0,-9.714110955105836
0.2820000000000002,0.00014296596759692242,-2.756720569112096,0.0,-9.71345602337197
0.2830000000000002,0.00014350772364903273,-2.766434025135468,0.0,-9.712798824111015
0.2840000000000002,0.0001440498687658342,-2.776146823959579,0.0,-9.712139357944784
0.2850000000000002,0.00014459240468851892,-2.7858589633175237,0.0,-9.711477625497167
0.2860000000000002,0.00014513533316211192,-2.795570440943021,0.0,-9.710813627394138
0.2870000000000002,0.00014567865593308706,-2.805281254570415,0.0,-9.710147364263758
0.2880000000000002,0.0001462223747540152,-2.8149914019346784,0.0,-9.709478836736164
0.2890000000000002,0.00014676649138284915,-2.8247008807714145,0.0,-9.708808045443572
0.2900000000000002,0.00014731100757942777,-2.834409688816858,0.0,-9.708134991020279
0.2910000000000002,0.0001478559251095735,-2.8441178238078786,0.0,-9.707459674102655
0.2920000000000002,0.00014840124574252232,-2.853825283481981,0.0,-9.706782095329148
0.2930000000000002,0.00014894697125521152,-2.86353206557731,0.0,-9.706102255340278
0.2940000000000002,0.00014949310342303243,-2.87323816783265,0.0,-9.705420154778643
0.2950000000000002,0.00015003964403264953,-2.882943587987429,0.0,-9.704735794288906
0.2960000000000002,0.0001505865948710827,-2.8926483237817178,0.0,-9.704049174517804
0.2970000000000002,0.00015113395772869577,-2.9023523729562357,0.0,-9.703360296114143
0.2980000000000002,0.00015168173440609114,-2.91205573325235,0.0,-9.702669159728794
0.2990000000000002,0.00015222992670188025,-2.921758402412079,0.0,-9.701975766014696
0.3000000000000002,0.0001527785364244063,-2.9314603781780937,0.0,-9.701280115626856
0.3010000000000002,0.00015332756538192374,-2.9411616582937206,0.0,-9.70058220922234
0.3020000000000002,0.00015387701539488886,-2.9508622405029428,0.0,-9.69988204746028
0.3030000000000002,0.00015442688827776616,-2.960562122550403,0.0,-9.699179631001869
0.3040000000000002,0.0001549771858606218,-2.970261302181405,0.0,-9.698474960510355
0.3050000000000002,0.00015552790997036547,-2.9799597771419153,0.0,-9.69776803665105
0.3060000000000002,0.00015607906244323826,-2.9896575451785665,0.0,-9.697058860091321
0.3070000000000002,0.00015663064511571838,-2.999354604038658,0.0,-9.696347431500593
0.3080000000000002,0.0001571826598347866,-3.0090509514701584,0.0,-9.695633751550343
0.3090000000000002,0.0001577351084492009,-3.0187465852217086,0.0,-9.6949178209141
0.3100000000000002,0.0001582879928138053,-3.0284415030426226,0.0,-9.694199640267449
0.3110000000000002,0.0001588413147839624,-3.03813570268289,0.0,-9.693479210288023
