#  x     x-floor(x+0.5)     xsum
  0.55650  -0.44350  -0.53087
  0.55750  -0.44250  -0.52843
  0.55850  -0.44150  -0.52569
  0.55950  -0.44050  -0.52268
  0.56050  -0.43950  -0.51941
  0.56150  -0.43850  -0.51589
  0.56250  -0.43750  -0.51215
  0.56350  -0.43650  -0.50820
  0.56450  -0.43550  -0.50406
  0.56550  -0.43450  -0.49974
  0.56650  -0.43350  -0.49526
  0.56750  -0.43250  -0.49065
  0.56850  -0.43150  -0.48590
  0.56950  -0.43050  -0.48105
  0.57050  -0.42950  -0.47610
  0.57150  -0.42850  -0.47108
  0.57250  -0.42750  -0.46600
  0.57350  -0.42650  -0.46088
  0.57450  -0.42550  -0.45573
  0.57550  -0.42450  -0.45056
  0.57650  -0.42350  -0.44540
  0.57750  -0.42250  -0.44025
  0.57850  -0.42150  -0.43514
  0.57950  -0.42050  -0.43007
  0.58050  -0.41950  -0.42506
  0.58150  -0.41850  -0.42011
  0.58250  -0.41750  -0.41525
  0.58350  -0.41650  -0.41049
  0.58450  -0.41550  -0.40583
  0.58550  -0.41450  -0.40128
  0.58650  -0.41350  -0.39686
  0.58750  -0.41250  -0.39258
  0.58850  -0.41150  -0.38844
  0.58950  -0.41050  -0.38445
  0.59050  -0.40950  -0.38062
  0.59150  -0.40850  -0.37695
  0.59250  -0.40750  -0.37345
  0.59350  -0.40650  -0.37013
  0.59450  -0.40550  -0.36699
  0.59550  -0.40450  -0.36404
  0.59650  -0.40350  -0.36127
  0.59750  -0.40250  -0.35869
  0.59850  -0.40150  -0.35631
  0.59950  -0.40050  -0.35411
  0.60050  -0.39950  -0.35211
  0.60150  -0.39850  -0.35031
  0.60250  -0.39750  -0.34869
  0.60350  -0.39650  -0.34727
  0.60450  -0.39550  -0.34603
  0.60550  -0.39450  -0.34498
  0.60650  -0.39350  -0.34412
  0.60750  -0.39250  -0.34343
  0.60850  -0.39150  -0.34292
  0.60950  -0.39050  -0.34258
  0.61050  -0.38950  -0.34240
  0.61150  -0.38850  -0.34238
  0.61250  -0.38750  -0.34252
  0.61350  -0.38650  -0.34280
  0.61450  -0.38550  -0.34322
  0.61550  -0.38450  -0.34377
  0.61650  -0.38350  -0.34445
  0.61750  -0.38250  -0.34525
  0.61850  -0.38150  -0.34615
  0.61950  -0.38050  -0.34715
  0.62050  -0.37950  -0.34824
  0.62150  -0.37850  -0.34942
  0.62250  -0.37750  -0.35067
  0.62350  -0.37650  -0.35198
  0.62450  -0.37550  -0.35335
  0.62550  -0.37450  -0.35476
  0.62650  -0.37350  -0.35621
  0.62750  -0.37250  -0.35769
  0.62850  -0.37150  -0.35919
  0.62950  -0.37050  -0.36069
  0.63050  -0.36950  -0.36220
  0.63150  -0.36850  -0.36370
  0.63250  -0.36750  -0.36518
  0.63350  -0.36650  -0.36663
  0.63450  -0.36550  -0.36805
  0.63550  -0.36450  -0.36943
  0.63650  -0.36350  -0.37076
  0.63750  -0.36250  -0.37203
  0.63850  -0.36150  -0.37324
  0.63950  -0.36050  -0.37438
  0.64050  -0.35950  -0.37543
  0.64150  -0.35850  -0.37641
  0.64250  -0.35750  -0.37729
  0.64350  -0.35650  -0.37808
  0.64450  -0.35550  -0.37877
  0.64550  -0.35450  -0.37935
  0.64650  -0.35350  -0.37982
  0.64750  -0.35250  -0.38018
  0.64850  -0.35150  -0.38042
  0.64950  -0.35050  -0.38054
  0.65050  -0.34950  -0.38054
  0.65150  -0.34850  -0.38042
  0.65250  -0.34750  -0.38017
  0.65350  -0.34650  -0.37979
  0.65450  -0.34550  -0.37929
  0.65550  -0.34450  -0.37865
  0.65650  -0.34350  -0.37789
  0.65750  -0.34250  -0.37701
  0.65850  -0.34150  -0.37599
  0.65950  -0.34050  -0.37486
  0.66050  -0.33950  -0.37360
  0.66150  -0.33850  -0.37222
  0.66250  -0.33750  -0.37072
  0.66350  -0.33650  -0.36911
  0.66450  -0.33550  -0.36738
  0.66550  -0.33450  -0.36555
  0.66650  -0.33350  -0.36362
  0.66750  -0.33250  -0.36159
  0.66850  -0.33150  -0.35946
  0.66950  -0.33050  -0.35724
  0.67050  -0.32950  -0.35495
  0.67150  -0.32850  -0.35257
  0.67250  -0.32750  -0.35012
  0.67350  -0.32650  -0.34760
  0.67450  -0.32550  -0.34503
  0.67550  -0.32450  -0.34239
  0.67650  -0.32350  -0.33971
  0.67750  -0.32250  -0.33699
  0.67850  -0.32150  -0.33424
  0.67950  -0.32050  -0.33145
  0.68050  -0.31950  -0.32864
  0.68150  -0.31850  -0.32582
  0.68250  -0.31750  -0.32299
  0.68350  -0.31650  -0.32015
  0.68450  -0.31550  -0.31733
  0.68550  -0.31450  -0.31451
  0.68650  -0.31350  -0.31170
  0.68750  -0.31250  -0.30892
  0.68850  -0.31150  -0.30618
  0.68950  -0.31050  -0.30346
  0.69050  -0.30950  -0.30079
  0.69150  -0.30850  -0.29816
  0.69250  -0.30750  -0.29558
  0.69350  -0.30650  -0.29307
  0.69450  -0.30550  -0.29061
  0.69550  -0.30450  -0.28822
  0.69650  -0.30350  -0.28590
  0.69750  -0.30250  -0.28365
  0.69850  -0.30150  -0.28149
  0.69950  -0.30050  -0.27940
  0.70050  -0.29950  -0.27740
  0.70150  -0.29850  -0.27549
  0.70250  -0.29750  -0.27367
  0.70350  -0.29650  -0.27194
  0.70450  -0.29550  -0.27030
  0.70550  -0.29450  -0.26876
  0.70650  -0.29350  -0.26732
  0.70750  -0.29250  -0.26598
  0.70850  -0.29150  -0.26473
  0.70950  -0.29050  -0.26358
  0.71050  -0.28950  -0.26253
  0.71150  -0.28850  -0.26157
  0.71250  -0.28750  -0.26072
  0.71350  -0.28650  -0.25995
  0.71450  -0.28550  -0.25928
  0.71550  -0.28450  -0.25871
  0.71650  -0.28350  -0.25822
  0.71750  -0.28250  -0.25782
  0.71850  -0.28150  -0.25750
  0.71950  -0.28050  -0.25726
  0.72050  -0.27950  -0.25710
  0.72150  -0.27850  -0.25701
  0.72250  -0.27750  -0.25700
  0.72350  -0.27650  -0.25705
  0.72450  -0.27550  -0.25716
  0.72550  -0.27450  -0.25733
  0.72650  -0.27350  -0.25756
  0.72750  -0.27250  -0.25783
  0.72850  -0.27150  -0.25815
  0.72950  -0.27050  -0.25850
  0.73050  -0.26950  -0.25889
  0.73150  -0.26850  -0.25930
  0.73250  -0.26750  -0.25974
  0.73350  -0.26650  -0.26020
  0.73450  -0.26550  -0.26067
  0.73550  -0.26450  -0.26115
  0.73650  -0.26350  -0.26162
  0.73750  -0.26250  -0.26210
  0.73850  -0.26150  -0.26257
  0.73950  -0.26050  -0.26302
  0.74050  -0.25950  -0.26345
  0.74150  -0.25850  -0.26387
  0.74250  -0.25750  -0.26425
  0.74350  -0.25650  -0.26460
  0.74450  -0.25550  -0.26491
  0.74550  -0.25450  -0.26518
  0.74650  -0.25350  -0.26540
  0.74750  -0.25250  -0.26558
  0.74850  -0.25150  -0.26569
  0.74950  -0.25050  -0.26576
  0.75050  -0.24950  -0.26576
  0.75150  -0.24850  -0.26569
  0.75250  -0.24750  -0.26556
  0.75350  -0.24650  -0.26536
  0.75450  -0.24550  -0.26508
  0.75550  -0.24450  -0.26474
  0.75650  -0.24350  -0.26431
  0.75750  -0.24250  -0.26381
  0.75850  -0.24150  -0.26323
  0.75950  -0.24050  -0.26256
  0.76050  -0.23950  -0.26182
  0.76150  -0.23850  -0.26100
  0.76250  -0.23750  -0.26009
  0.76350  -0.23650  -0.25910
  0.76450  -0.23550  -0.25804
  0.76550  -0.23450  -0.25689
  0.76650  -0.23350  -0.25566
  0.76750  -0.23250  -0.25435
  0.76850  -0.23150  -0.25297
  0.76950  -0.23050  -0.25152
  0.77050  -0.22950  -0.24999
  0.77150  -0.22850  -0.24839
  0.77250  -0.22750  -0.24672
  0.77350  -0.22650  -0.24499
  0.77450  -0.22550  -0.24319
  0.77550  -0.22450  -0.24134
  0.77650  -0.22350  -0.23943
  0.77750  -0.22250  -0.23747
  0.77850  -0.22150  -0.23546
  0.77950  -0.22050  -0.23340
  0.78050  -0.21950  -0.23130
  0.78150  -0.21850  -0.22917
  0.78250  -0.21750  -0.22701
  0.78350  -0.21650  -0.22482
  0.78450  -0.21550  -0.22260
  0.78550  -0.21450  -0.22036
  0.78650  -0.21350  -0.21811
  0.78750  -0.21250  -0.21585
  0.78850  -0.21150  -0.21358
  0.78950  -0.21050  -0.21132
  0.79050  -0.20950  -0.20905
  0.79150  -0.20850  -0.20679
  0.79250  -0.20750  -0.20455
  0.79350  -0.20650  -0.20232
  0.79450  -0.20550  -0.20011
  0.79550  -0.20450  -0.19793
  0.79650  -0.20350  -0.19578
  0.79750  -0.20250  -0.19366
  0.79850  -0.20150  -0.19157
  0.79950  -0.20050  -0.18953
  0.80050  -0.19950  -0.18753
  0.80150  -0.19850  -0.18558
  0.80250  -0.19750  -0.18367
  0.80350  -0.19650  -0.18182
  0.80450  -0.19550  -0.18003
  0.80550  -0.19450  -0.17830
  0.80650  -0.19350  -0.17663
  0.80750  -0.19250  -0.17502
  0.80850  -0.19150  -0.17347
  0.80950  -0.19050  -0.17199
  0.81050  -0.18950  -0.17058
  0.81150  -0.18850  -0.16924
  0.81250  -0.18750  -0.16797
  0.81350  -0.18650  -0.16678
  0.81450  -0.18550  -0.16565
  0.81550  -0.18450  -0.16459
  0.81650  -0.18350  -0.16361
  0.81750  -0.18250  -0.16269
  0.81850  -0.18150  -0.16185
  0.81950  -0.18050  -0.16107
  0.82050  -0.17950  -0.16037
  0.82150  -0.17850  -0.15973
  0.82250  -0.17750  -0.15916
  0.82350  -0.17650  -0.15865
  0.82450  -0.17550  -0.15820
  0.82550  -0.17450  -0.15781
  0.82650  -0.17350  -0.15748
